bnf_code,bnf_name,formulation_descr
0913011N0BCACAM,Aymes Actagain 1.5 Plant Powered liquid (3 flavours),liquidfood.oral
0913011M0BEAAAA,Fortijuce Starter Pack liquid,liquidfood.oral
0913011V0BDABAF,Fortisip Compact Starter Pack liquid,Formulation not specified
0913011J0BGAAAD,Nutricrem Starter Pack dessert,Formulation not specified
0913011J0BEAAAA,Forticreme Complete dessert banana,grocerysemisolid.oral
0913011W0BBAAAA,Fortisip Compact Protein Starter Pack liquid,Formulation not specified
0913011U0BDAAAC,Aymes Actagain 2.0 Fibre liquid (3 flavours),liquidfood.oral
0913011W0BCABAD,Fresubin Pro Compact drink (5 flavours),liquidfood.oral
0913011V0BCABAG,Ensure Compact Starter Pack liquid,Formulation not specified
0913011K0BDAAAB,Fortisip Extra liquid (2 flavours),liquidfood.oral
0913011N0BEABAA,Ensure Plus Commence liquid assorted,liquidfood.gastroenteral
0913011N0BEABAA,Ensure Plus Commence liquid assorted,liquidfood.oral
0913011J0BFACAB,Fresubin 2kcal Creme dessert praline,grocerysemisolid.oral
0913011J0BFAFAC,Fresubin YOcreme dessert apricot-peach,grocerysemisolid.oral
0913011V0BBAEAB,Altraplen Compact Starter Pack liquid,Formulation not specified
0913011M0BCAAAF,Altrajuce Starter Pack liquid,Formulation not specified
0913011T0BCAAAB,Fresubin 2kcal Fibre Mini drink (2 flavours),liquidfood.oral
0913011N0BBAAAK,Altraplen Energy Starter Pack liquid,Formulation not specified
0913011U0BCAAAB,Resource Fibre 2.0 liquid (2 flavours),liquidfood.gastroenteral
0913011U0BCAAAB,Resource Fibre 2.0 liquid (2 flavours),liquidfood.oral
0913011M0BDABAI,Ensure Plus Juce Starter Pack liquid,Formulation not specified
0913011H0BBAEAB,Aymes ActaSolve Protein Compact pdr 57g sachets strawberry,liquidfood.oral
0913011J0BEABAA,Forticreme Complete dessert chocolate,grocerysemisolid.oral
0913011N0BCAAAE,Aymes Actagain 1.5 Complete Starter Pack liquid,Formulation not specified
0913011X0BCAAAC,Altraplen Compact Daily Starter Pack liquid,Formulation not specified
0913011J0BEADAA,Forticreme Complete dessert vanilla,grocerysemisolid.oral
0913011N0BIAAAD,Resource Energy liquid chocolate,liquidfood.gastroenteral
0913011N0BIAAAD,Resource Energy liquid chocolate,liquidfood.oral
0913011J0BFAIAC,Fresubin YOcreme dessert raspberry,grocerysemisolid.oral
0913011I0BDAAAA,Fresubin Original drink vanilla,liquidfood.oral
0913011M0BBAAAH,Aymes Actagain Juce Starter Pack liquid,Formulation not specified
0913011N0BGABAB,Fresubin Energy liquid unflavoured,liquidfood.oral
0913011N0BDAAAJ,EnergieShake Complete 1.5kcal liquid (4 flavours),liquidfood.oral
0913011J0BFAGAC,Fresubin YOcreme dessert biscuit,grocerysemisolid.oral
0913011C0BCAFAE,Complan Shake Starter Pack sachets,Formulation not specified
0913011J0BEACAA,Forticreme Complete dessert forest fruits,grocerysemisolid.oral
0913011J0BFAHAC,Fresubin YOcreme dessert lemon,grocerysemisolid.oral
0913011N0BIABAD,Resource Energy liquid strawberry & raspberry,liquidfood.oral
0913011N0BIABAD,Resource Energy liquid strawberry & raspberry,liquidfood.gastroenteral
0913011K0BBACAC,Altraplen Protein Starter Pack liquid,Formulation not specified
0913011I0BDAAAA,Fresubin Original drink (3 flavours),liquidfood.oral
0913011S0BBACAG,Aymes 2.0kcal Starter Pack liquid,Formulation not specified
0913011N0BIACAD,Resource Energy liquid vanilla,liquidfood.gastroenteral
0913011N0BIACAD,Resource Energy liquid vanilla,liquidfood.oral
0913011F0BCAAAC,Foodlink Complete Compact Starter Pack sachets,Formulation not specified
0913011H0BBABAB,Aymes Actasolve Protein Compact pdr 57g banana milkshake,liquidfood.oral
0913011S0BBABAF,Aymes Actagain 2.4 Starter Pack liquid,Formulation not specified
0913011Q0BDAAAB,Fresubin YoDrink (3 flavours),liquidfood.oral
0913011T0BBAAAA,Fortisip Compact Fibre Starter Pack liquid,liquidfood.oral
0913011Z0BCAAAB,Fresubin Plant-Based drink,liquidfood.oral
0913011M0BFABAD,Fresubin Jucy drink starter pack,Formulation not specified
0913011S0BBAFAJ,Aymes Actagain 2.0 Starter Pack liquid,Formulation not specified
0913011H0BBAEAB,Aymes Actasolve Protein Compact pdr 57g strawberry burst,liquidfood.oral
0913011H0BBAFAB,Aymes Actasolve Protein Compact pdr 57g sach smooth vanilla,liquidfood.oral
0913011J0BBABAH,Aymes ActaCal Creme Starter Pack dessert,Formulation not specified
0913011AABBAAAA,Fortisip PlantBased 2kcal liquid (3 flavours),liquidfood.oral
0913011X0BBAAAA,Aymes Actagain 2.4 Daily Starter Pack liquid,Formulation not specified
0913011R0BBAAAA,Fresubin Dessert Fruit Puree,grocerysemisolid.oral
0913011D0BBABAD,Aymes Actasolve Shake Fibre pdr 57g sachets banana milkshake,liquidfood.oral
0913011B0BCAAAC,Foodlink Smoothie Starter Pack sachets,Formulation not specified
0913011D0BBAEAD,Aymes Actasolve Shake Fibre pdr 57g sachets strawberry burst,liquidfood.oral
0913011H0BBACAB,Aymes Actasolve Protein Compact pdr 57g classic chocolate,liquidfood.oral
0913011N0BCADAN,Aymes Actagain 1.5 Plant Powered Starter Pack liquid,Formulation not specified
0913011D0BBAFAD,Aymes Actasolve Shake Fibre pdr 57g sachets smooth vanilla,liquidfood.oral
0913011S0BCAAAH,EnergieShake 2.0kcal liquid (3 flavours),liquidfood.oral
0913011D0BBACAD,Aymes Actasolve Shake Fibre pdr 57g sach classic chocolate,liquidfood.oral
0913011U0BDABAD,Aymes Actagain 2.0 Fibre Starter Pack liquid,Formulation not specified
0913011H0BBADAB,Aymes Actasolve Protein Compact pdr 57g sach simply neutral,liquidfood.oral
0913011J0BCAAAI,EnergieShake dessert (2 flavours),grocerysemisolid.oral
0913011D0BBADAD,Aymes Actasolve Shake Fibre pdr 57g sachets simply neutral,liquidfood.oral
0913011Y0BBAAAA,Altraplen Compact Protein Max liquid (4 flavours),liquidfood.oral
0913011E0BFAEAG,Foodlink Extra Starter Pack sachets,Formulation not specified
0913011N0BIADAD,Resource Energy liquid apricot,liquidfood.oral
0913011N0BIADAD,Resource Energy liquid apricot,liquidfood.gastroenteral
0913011N0BIAEAD,Resource Energy liquid coffee,liquidfood.oral
0913011N0BIAEAD,Resource Energy liquid coffee,liquidfood.gastroenteral
0913011N0AAAGAG,Generic Fortisip Bottle,liquidfood.oral
0913011I0BCAAAB,EnergieShake Advance 1.3kcal oral liquid (2 flavours),liquid.oral
0913011L0AAABAB,Generic Ensure Plus Fibre liquid,liquidfood.oral
0913011L0AAABAB,Generic Ensure Plus Fibre liquid,liquidfood.gastroenteral
0913011N0AAAJAJ,Generic EnergieShake Complete 1.5kcal liquid,liquidfood.oral
0913011N0AAAFAF,Generic Aymes Complete liquid,liquidfood.oral
0913011S0AAACAC,Generic Ensure TwoCal liquid,liquidfood.gastroenteral
0913011S0AAACAC,Generic Ensure TwoCal liquid,liquidfood.oral
0913011N0AAAAAA,Generic Ensure Plus milkshake style liquid,liquidfood.gastroenteral
0913011N0AAAAAA,Generic Ensure Plus milkshake style liquid,liquidfood.oral
