atc_code,bnf_code_presc,bnf_name,form,total_items
R03BA01,0302000C0BTABBV,Soprobec 200micrograms/dose inhaler,MDI,48892
R03BA01,0302000C0BJAEBG,Qvar 50micrograms/dose Easi-Breathe inhaler,MDI,48151
R03AC02,0301011R0AAAQAQ,Salbutamol 200micrograms/dose dry powder inhaler,DPI,46005
R03BA02,0302000K0BBAKAK,Pulmicort 100 Turbohaler,DPI,45805
R03BA05,0302000N0AABHBH,Fluticasone 50micrograms/dose inhaler CFC free,MDI,43065
R03AK11,0302000N0AABJBJ,Fluticasone 125microg / Formoterol 5microg/dose inh CFC free,MDI,42851
R03BA01,0302000C0AABEBE,Beclometasone 50micrograms/dose inhaler CFC free,MDI,40163
R03BB04,0301020Q0AAADAD,Tiotropium bromide 10microgram inhalation pdr caps with dev,DPI,39413
R03AC12,0301011U0BBAFAH,Serevent 25micrograms/dose Evohaler,MDI,38215
R03AK11,0302000N0AABKBK,Fluticasone 250microg / Formoterol 10microg/dose inh CFCfree,MDI,37036
R03BA01,0302000C0BSAABE,Kelhale 50micrograms/dose inhaler,MDI,36860
R03AK07,0302000K0BIAAAU,Fobumix Easyhaler 320microg/dose / 9microg/dose dry pdr inh,DPI,35927
R03AK08,0302000C0AABZBZ,Beclometasone 200microg/Formoterol 6microg/dose inh CFC free,MDI,35549
R03AK08,0302000C0AABYBY,Beclometasone 100microg/Formoterol 6microg/dose dry pdr inh,DPI,32526
R03AC02,0301011R0AABZBZ,Salbutamol 100micrograms/dose dry powder inhaler,DPI,32274
R03AK06,0302000N0BLABBF,Combisal 25micrograms/dose / 125micrograms/dose inhaler,MDI,31723
R03BA05,0302000N0AABABA,Fluticasone 125micrograms/dose inhaler CFC free,MDI,31453
R03AK07,0302000K0AAALAL,Budesonide 100microg / Formoterol 6microg/dose dry pdr inh,DPI,31099
R03AK07,0302000K0BIADAL,Fobumix Easyhaler 80microg/dose / 4.5microg/dose dry pdr inh,DPI,30758
R03BA05,0302000N0BBBBBH,Flixotide 50micrograms/dose Evohaler,MDI,30435
R03AK06,0302000N0BGAAAZ,AirFluSal Forspiro 50microg / 500microg/dose dry pdr inh,DPI,30360
R03BA08,0302000U0AAABAB,Ciclesonide 160micrograms/dose inhaler CFC free,MDI,30189
R03BB01,0301020I0BBAJAN,Atrovent 20micrograms/dose inhaler CFC free,MDI,29637
R03AK07,0302000K0AAAUAU,Budesonide 400mcg/dose /Formoterol 12mcg/dose dry powder inh,DPI,29241
R03AK06,0302000N0BLAABE,Combisal 25micrograms/dose / 50micrograms/dose inhaler,MDI,28496
R03AK06,0302000N0AAAZAZ,Fluticasone propionate 500microg/Salmeterol 50microg/dose,DPI,27715
R03AK10,0302000V0AAABAB,Fluticasone furoate 92microg/Vilanterol 22microg/dose,DPI,27652
R03AK06,0302000N0BLACBG,Combisal 25micrograms/dose / 250micrograms/dose inhaler,MDI,26603
R03BB04,0301020Q0BEAAAA,Tiogiva 18microgram inhalation powder capsules with device,DPI,26369
R03AK06,0302000N0AAAYAY,Fluticasone propionate 250microg/Salmeterol 50microg/dose,DPI,25859
R03AC13,0301011E0BEAAAC,Formoterol Easyhaler 12micrograms/dose dry powder inhaler,DPI,25688
R03AL03,0301040W0AAAAAA,Umeclidinium brom 65microg/Vilanterol 22microg/dose dry pdr,DPI,25416
R03BA02,0302000K0AAAGAG,Budesonide 200micrograms/dose dry powder inhaler,DPI,25303
R03BA05,0302000N0BBASAS,Flixotide 100micrograms/dose Accuhaler,DPI,24856
R03BA05,0302000N0AABCBC,Fluticasone 250micrograms/dose inhaler CFC free,MDI,24348
R03BA05,0302000N0BBAYBA,Flixotide 125micrograms/dose Evohaler,MDI,21438
R03AK08,0302000C0AACACA,Beclometasone 200microg/Formoterol 6microg/dose dry pdr inh,DPI,21246
R03BA02,0302000K0BBAIAH,Pulmicort 400 Turbohaler,DPI,20620
R03BA01,0302000C0BJACBG,Qvar 50 Autohaler,MDI,20573
R03BB06,0301020S0AAAAAA,Glycopyrronium bromide 55microg inhalation pdr caps with dev,DPI,18340
R03AK06,0302000N0AAAXAX,Fluticasone propionate 100microg/Salmeterol 50microg/dose,DPI,18222
R03AL06,0301040X0AAAAAA,Tiotropium brom 2.5microg/Olodaterol 2.5microg/dose soln&dev,SMI,17751
R03BB05,0301020R0AAAAAA,Aclidinium bromide 375micrograms/dose dry powder inhaler,DPI,17433
R03AK10,0302000V0AAAAAA,Fluticasone furoate 184microg/Vilanterol 22microg/dose,DPI,16308
n/a,0302000W0BBAAAA,Enerzair Breezhaler 114microg / 46microg / 136microg/dose,DPI,15683
R03BA05,0302000N0BBBABC,Flixotide 250micrograms/dose Evohaler,MDI,15560
R03BB07,0301020T0AAAAAA,Umeclidinium bromide 65micrograms/dose dry powder inhaler,DPI,15420
R03AC12,0301011U0BBAEAE,Serevent 50micrograms/dose Accuhaler,DPI,14972
R03BA02,0302000K0AAAKAK,Budesonide 100micrograms/dose dry powder inhaler,DPI,14855
R03AK07,0302000K0BDAEBC,Symbicort 100microg/dose / 3microg/dose pressurised inh,MDI,14819
R03AC12,0301011U0AAAEAE,Salmeterol 50micrograms/dose dry powder inhaler,DPI,14349
R03AK11,0302000N0AABLBL,Fluticasone 50microg / Formoterol 5microg/dose inh CFC free,MDI,12965
R03AC12,0301011U0BGAAAH,Soltel 25micrograms/dose inhaler CFC free,MDI,12666
R03AK07,0302000K0AABBBB,Budesonide 200microg / Formoterol 6microg/dose inh CFC free,MDI,12588
R03BB04,0301020Q0BEABAB,Tiogiva 18microgram inhalation powder capsules,DPI,12203
R03BB04,0301020Q0BDAAAA,Acopair 18microgram inhalation pdr caps with NeumoHaler,DPI,10945
R03BA05,0302000N0BBATAT,Flixotide 250micrograms/dose Accuhaler,DPI,10296
R03BA08,0302000U0BBABAB,Alvesco 160 inhaler,MDI,9974
R03AL04,0301040Y0AAAAAA,Indacaterol 85microg/Glycopyrronium brom 54microg/dose,DPI,9968
R03AC13,0301011E0AAADAD,Formoterol 12micrograms/dose inhaler CFC free,MDI,9767
R03BA05,0302000N0AAASAS,Fluticasone propionate 100micrograms/dose dry powder inhaler,DPI,9528
R03AC13,0301011E0BCABAC,Oxis 12 Turbohaler,DPI,9516
R03BA01,0302000C0AABHBH,Beclometasone 100mcg/dose breath actuated inhaler CFC free,MDI,9294
R03BA02,0302000K0BGACAH,Easyhaler Budesonide 400micrograms/dose dry powder inhaler,DPI,9125
R03AC13,0301011E0BDAAAD,Atimos Modulite 12micrograms/dose inhaler,MDI,8709
R03AK06,0302000N0BMAAAZ,Stalpex 50microg/dose / 500microg/dose dry powder inh,DPI,8237
R03AL06,0301040X0AAABAB,Tiotropium brom 2.5microg/Olodaterol 2.5microg/dose soln,SMI,7879
R03BA08,0302000U0AAAAAA,Ciclesonide 80micrograms/dose inhaler CFC free,MDI,7405
R03BA01,0302000C0AABUBU,Beclometasone 200micrograms/dose dry powder inhaler,DPI,7301
R03BA05,0302000N0BBARAR,Flixotide 50micrograms/dose Accuhaler,DPI,7115
R03AC13,0301011E0AAACAC,Formoterol 12micrograms/dose dry powder inhaler,DPI,6047
R03BA02,0302000K0AAAHAH,Budesonide 400micrograms/dose dry powder inhaler,DPI,6024
R03AL05,0301040V0AAAAAA,Aclidinium brom 396mcg/dose / Formoterol 11.8mcg/dose DP inh,DPI,5666
R03AK06,0302000N0BKAAAY,Fusacomb Easyhaler 50microg / 250microg/dose dry pdr inh,DPI,5650
R03BA01,0302000C0BTADBW,Soprobec 250micrograms/dose inhaler,MDI,4894
R03BA05,0302000N0AAATAT,Fluticasone propionate 250micrograms/dose dry powder inhaler,DPI,4480
R03BA01,0302000C0AABVBV,Beclometasone 200micrograms/dose inhaler CFC free,MDI,4476
R03AL07,0301040AAAAAAAA,Glycopyrronium 7.2microg/Formoterol 5microg/dose inh CFCfree,MDI,4392
R03BA05,0302000N0BBAUAU,Flixotide 500micrograms/dose Accuhaler,DPI,4064
R03AC13,0301011E0BCAAAB,Oxis 6 Turbohaler,DPI,3709
R03AC18,0301011X0BBAAAA,Onbrez Breezhaler 150microgram inhalation pdr caps with dev,DPI,3639
R03AK06,0302000N0BKABAZ,Fusacomb Easyhaler 50microg / 500microg/dose dry pdr inh,DPI,3478
R03AC13,0301011E0AAABAB,Formoterol 6micrograms/dose dry powder inhaler,DPI,3306
R03BA08,0302000U0BBAAAA,Alvesco 80 inhaler,MDI,3211
R03AC18,0301011X0AAAAAA,Indacaterol 150microgram inhalation pdr caps with device,DPI,2977
R03AK06,0302000N0BJABBG,Aloflute 25micrograms/dose / 250micrograms/dose inhaler,MDI,2774
R03AK06,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,MDI,2509
R03AC13,0301011E0AAAAAA,Formoterol 12microgram inhalation pdr caps with device,DPI,2445
R03BA02,0302000K0AAAVAV,Budesonide 200microg/dose dry pdr inhalation cart with dev,DPI,2205
R03AK06,0302000N0BNABAY,Fixkoh Airmaster 50microg/dose / 250microg/dose dry pdr inh,DPI,2183
R03AC02,0301011R0BXAACB,Salbulin Novolizer 100micrograms/dose inhalation powder,DPI,2117
R03BA05,0302000N0AAARAR,Fluticasone propionate 50micrograms/dose dry powder inhaler,DPI,1930
R03BA05,0302000N0AAAUAU,Fluticasone propionate 500micrograms/dose dry powder inhaler,DPI,1626
R03AK07,0302000K0BJAAAM,WockAIR 160micrograms/dose / 4.5micrograms/dose dry pdr inh,DPI,1561
R03AK06,0302000N0BNAAAZ,Fixkoh Airmaster 50microg/dose / 500microg/dose dry pdr inh,DPI,1430
R03BA01,0302000C0BVAABF,Beclu 100micrograms/dose inhaler,MDI,1356
R03BA02,0302000K0AAAWAW,Budesonide 200micrograms/dose dry pdr inhalation cartridge,DPI,1152
R03AK06,0302000N0BPAABE,Avenor 25micrograms/dose / 50micrograms/dose inhaler,MDI,1123
R03AC19,0301011Z0BBAAAA,Striverdi Respimat 2.5microg/dose inhalation soln,SMI,1098
R03AC02,0301011R0AACBCB,Salbutamol 100microg/dose dry pdr inhalation cart with dev,DPI,972
R03AK07,0302000K0AABCBC,Budesonide 100microg / Formoterol 3microg/dose inh CFC free,MDI,950
R03BA01,0302000C0AABWBW,Beclometasone 250micrograms/dose inhaler CFC free,MDI,821
R03BA01,0302000C0AABGBG,Beclometasone 50micrograms/dose breath actuated inh CFC free,MDI,692
R03AK14,0302000X0BBAAAA,Atectura Breezhaler 125microg/62.5microg inhalation pdr caps,DPI,682
R03AC13,0301011E0BBAAAA,Foradil 12microgram inhalation powder capsules with device,DPI,676
R03BA07,0302000R0BBAAAA,Asmanex 200micrograms/dose Twisthaler,DPI,674
R03AK06,0302000N0BNACAX,Fixkoh Airmaster 50microg/dose / 100microg/dose dry pdr inh,DPI,671
R03BA07,0302000R0AAAAAA,Mometasone 200micrograms/dose dry powder inhaler,DPI,664
R03BA02,0302000K0BFAAAV,Budelin Novolizer 200micrograms/dose inhalation powder,DPI,650
R03BA07,0302000R0BBACAC,Asmanex 400micrograms/dose Twisthaler,DPI,590
R03AC02,0301011R0AACCCC,Salbutamol 100micrograms/dose dry pdr inhalation cartridge,DPI,552
R03AC18,0301011X0BBABAB,Onbrez Breezhaler 300microgram inhalation pdr caps with dev,DPI,509
R03AC18,0301011X0AAABAB,Indacaterol 300microgram inhalation pdr caps with device,DPI,486
R03AC19,0301011Z0BBABAB,Striverdi Respimat 2.5microg/dose inhalation soln refill,SMI,485
R03BA07,0302000R0AAACAC,Mometasone 400micrograms/dose dry powder inhaler,DPI,459
R03AC02,0301011R0BXABCC,Salbulin Novolizer 100micrograms/dose inhalation pdr refill,DPI,453
R03AK06,0302000N0BPABBF,Avenor 25micrograms/dose / 125micrograms/dose inhaler,MDI,445
R03BA02,0302000K0BFABAW,Budelin Novolizer 200micrograms/dose inhalation pdr refill,DPI,427
R03AK14,0302000X0BBABAB,Atectura Breezhaler 125microg/127.5microg pdr caps,DPI,423
R03AK06,0302000N0BPACBG,Avenor 25micrograms/dose / 250micrograms/dose inhaler,MDI,318
R03AK07,0302000K0BJABAU,WockAIR 320micrograms/dose / 9micrograms/dose dry pdr inh,DPI,295
R03AK06,0302000N0BIACAY,Sereflo Ciphaler 50microg / 250microg/dose dry pdr inh,DPI,290
R03AC19,0301011Z0AAAAAA,Olodaterol 2.5microg/dose soln for inhalation CFCfree,SMI,286
R03AK08,0302000C0BWAABX,Bibecfo 100micrograms/dose / 6micrograms/dose inhaler,MDI,286
R03AC12,0301011U0BEAAAH,Neovent 25micrograms/dose inhaler CFC free (Kent Pharm),MDI,275
R03BA01,0302000C0BVABBV,Beclu 200micrograms/dose inhaler,MDI,256
R03AK14,0302000X0BBACAC,Atectura Breezhaler 125microg/260microg inhalation pdr caps,DPI,212
R03AC19,0301011Z0AAABAB,Olodaterol 2.5micrograms/dose inhalation soln cart CFC free,SMI,154
R03BB01,0301020I0BIAAAN,Inhalvent 20micrograms/dose inhaler,MDI,136
R03BC01,0303010Q0AAANAN,Sodium cromoglicate 5mg/dose inhaler CFC free,MDI,88
R03AK14,0302000X0AAAAAA,Indacaterol 125microg/Mometasone 62.5microg/dose pdr caps,DPI,83
n/a,0302000W0AAAAAA,Generic Enerzair Breezhaler 114/46/136microg inh caps + dev,DPI,49
R03AK06,0302000N0BQAABR,Seffalair Spiromax 12.75microg / 100microg/dose dry pdr inh,DPI,38
R03AK08,0302000C0BWABBZ,Bibecfo 200micrograms/dose / 6micrograms/dose inhaler,MDI,37
R03AK14,0302000X0AAABAB,Indacaterol 125microg/Mometasone 127.5microg/dose pdr caps,DPI,35
R03BC01,0303010Q0BBALAN,Intal 5mg/dose inhaler CFC free,MDI,29
R03AK06,0302000N0BQABBS,Seffalair Spiromax 12.75microg / 202microg/dose dry pdr inh,DPI,22
R03AK06,0302000N0BRACAZ,Campona Airmaster 50microg/dose / 500microg/dose dry pdr inh,DPI,18
R03AK06,0302000N0BRABAY,Campona Airmaster 50microg/dose / 250microg/dose dry pdr inh,DPI,16
R05CB16,0307000R0BBAAAA,Bronchitol 40mg inhalation powder capsules with two devices,DPI,16
R03BA01,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,MDI,16
R03AK06,0302000N0BIADAZ,Sereflo Ciphaler 50microg / 500microg/dose dry pdr inh,DPI,15
R03AK06,0302000N0AABRBR,Fluticasone propionate 100microg/Salmeterol 12.75microg/dose,DPI,15
R03BB01,0301020I0AAAAAA,Ipratropium bromide 20micrograms/dose inhaler,MDI,11
R03AK11,0302000N0BDADBP,Flutiform K-haler 125microg/dose / 5microg/dose BA inhaler,MDI,11
R03AC02,0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler,MDI,10
R03AK06,0302000N0BRAAAX,Campona Airmaster 50microg/dose / 100microg/dose dry pdr inh,DPI,9
R03AC12,0301011U0BBACAC,Serevent 25micrograms/dose inhaler,MDI,9
R03AL11,0302000Y0AAAAAA,Generic Trixeo Aerosphere 5microg/7.2microg/160microg/dose,MDI,9
R03AK07,0302000K0BKABAU,GoResp Digihaler 320microg/dose / 9microg/dose dry pdr inh,DPI,8
R03AK14,0302000X0AAACAC,Indacaterol 125microg/Mometasone 260microg/dose pdr caps,DPI,8
R03BA01,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,MDI,8
R03BB01,0301020I0BJAAAN,Ipravent 20micrograms/dose inhaler CFC free,MDI,7
R03AK07,0302000K0BKAAAM,GoResp Digihaler 160microg/dose / 4.5microg/dose dry pdr inh,DPI,7
R03AC02,0301011R0AAADAD,Salbutamol 100micrograms/dose breath actuated inhaler,MDI,7
R03BA02,0302000K0AAADAD,Budesonide 200micrograms/dose inhaler,MDI,6
R03BA01,0302000C0AAATAT,Beclometasone 100micrograms/dose breath actuated inhaler,MDI,4
R03AK11,0302000N0BDAEBQ,Flutiform K-haler 50microg/dose / 5microg/dose BA inh,MDI,3
R03BA01,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,MDI,3
R03AC02,0301011R0BIAHAP,Salamol 100micrograms/dose inhaler CFC free (Arrow),MDI,2
R03BA01,0302000C0BFABAB,Beclazone 100 inhaler,MDI,2
R05CB16,0307000R0AAAAAA,Mannitol 40mg inhalation powder capsules with two devices,DPI,2
R03BC03,0303010J0AAADAD,Nedocromil 2mg/dose inhaler CFC free,MDI,2
R03BA01,0302000C0BFAGAR,Beclazone 200 inhaler,MDI,2
R03AL09,0302000AAAAACAC,Generic Trimbow NEXThaler 88microg/5microg/9microg/dose inh,DPI,1
R03BA01,0302000C0BCAHAB,Becotide 100 inhaler,MDI,1
R03BA01,0302000C0AABJBJ,Beclometasone 100micrograms/dose dry powder inhaler,DPI,1
R03BB01,0301020I0BBAAAA,Atrovent 20micrograms/dose inhaler,MDI,1
R03AK06,0302000N0AABSBS,Fluticasone propionate 202microg/Salmeterol 12.75microg/dose,DPI,1
